Time: 1639085504.1321008, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2.0
Time: 1639086683.4258885, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 5.0
Time: 1639086683.433874, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 6.0
Time: 1639086873.144422, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2.0
Time: 1639086873.1554453, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4.0
Time: 1639086873.1872315, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 5.0
Time: 1639086873.1949818, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 5.0
Time: 1639086873.2166545, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 25.0
Time: 1639086873.2256114, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 4.0
Time: 1639086873.2438502, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 5.0
Time: 1639086873.251494, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 6.0
Time: 1639087042.116033, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2.0
Time: 1639087042.1274157, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4.0
Time: 1639087042.1688585, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 5.0
Time: 1639087042.1781862, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 5.0
Time: 1639087042.197779, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 25.0
Time: 1639087042.2082596, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 4.0
Time: 1639087042.2312562, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 5.0
Time: 1639087042.2393675, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 6.0
Time: 1639087322.5370028, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2
Time: 1639087322.54593, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4
Time: 1639087322.5554976, File: /opt/project/inputs/addition.csv, Record Number: 2, Operation: add, Result: 6
Time: 1639087322.5623193, File: /opt/project/inputs/addition.csv, Record Number: 3, Operation: add, Result: 8
Time: 1639087322.5738606, File: /opt/project/inputs/addition.csv, Record Number: 4, Operation: add, Result: 10
Time: 1639087322.5841522, File: /opt/project/inputs/addition.csv, Record Number: 5, Operation: add, Result: 12
Time: 1639087322.591124, File: /opt/project/inputs/addition.csv, Record Number: 6, Operation: add, Result: 14
Time: 1639087322.601594, File: /opt/project/inputs/addition.csv, Record Number: 7, Operation: add, Result: 16
Time: 1639087322.6090915, File: /opt/project/inputs/addition.csv, Record Number: 8, Operation: add, Result: 18
Time: 1639087322.641972, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 2.0
Time: 1639087322.6515355, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 2.0
Time: 1639087322.6619482, File: /opt/project/inputs/division.csv, Record Number: 2, Operation: divide, Result: 2.6666666666666665
Time: 1639087322.669625, File: /opt/project/inputs/division.csv, Record Number: 3, Operation: divide, Result: 4.0
Time: 1639087322.6816082, File: /opt/project/inputs/division.csv, Record Number: 4, Operation: divide, Result: 6.4
Time: 1639087322.6876273, File: /opt/project/inputs/division.csv, Record Number: 5, Operation: divide, Result: 10.666666666666666
Time: 1639087322.6978672, File: /opt/project/inputs/division.csv, Record Number: 6, Operation: divide, Result: 18.285714285714285
Time: 1639087322.7041216, File: /opt/project/inputs/division.csv, Record Number: 7, Operation: divide, Result: 32.0
Time: 1639087322.7136445, File: /opt/project/inputs/division.csv, Record Number: 8, Operation: divide, Result: 56.888888888888886
Time: 1639087322.7380064, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 2
Time: 1639087322.747636, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 8
Time: 1639087322.7562983, File: /opt/project/inputs/multiplication.csv, Record Number: 2, Operation: multiply, Result: 18
Time: 1639087322.7633665, File: /opt/project/inputs/multiplication.csv, Record Number: 3, Operation: multiply, Result: 32
Time: 1639087322.7727697, File: /opt/project/inputs/multiplication.csv, Record Number: 4, Operation: multiply, Result: 50
Time: 1639087322.7804084, File: /opt/project/inputs/multiplication.csv, Record Number: 5, Operation: multiply, Result: 72
Time: 1639087322.7915525, File: /opt/project/inputs/multiplication.csv, Record Number: 6, Operation: multiply, Result: 98
Time: 1639087322.8012, File: /opt/project/inputs/multiplication.csv, Record Number: 7, Operation: multiply, Result: 128
Time: 1639087322.8084826, File: /opt/project/inputs/multiplication.csv, Record Number: 8, Operation: multiply, Result: 162
Time: 1639087322.834631, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 1
Time: 1639087322.8443067, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 2
Time: 1639087322.8542485, File: /opt/project/inputs/subtraction.csv, Record Number: 2, Operation: subtract, Result: 3
Time: 1639087322.8631306, File: /opt/project/inputs/subtraction.csv, Record Number: 3, Operation: subtract, Result: 4
Time: 1639087322.8708708, File: /opt/project/inputs/subtraction.csv, Record Number: 4, Operation: subtract, Result: 5
Time: 1639087322.8809946, File: /opt/project/inputs/subtraction.csv, Record Number: 5, Operation: subtract, Result: 6
Time: 1639087322.8892334, File: /opt/project/inputs/subtraction.csv, Record Number: 6, Operation: subtract, Result: 7
Time: 1639087322.910106, File: /opt/project/inputs/subtraction.csv, Record Number: 7, Operation: subtract, Result: 8
Time: 1639087322.9206064, File: /opt/project/inputs/subtraction.csv, Record Number: 8, Operation: subtract, Result: 9
Time: 1639087421.6760247, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2
Time: 1639087421.6872716, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4
Time: 1639087421.6951416, File: /opt/project/inputs/addition.csv, Record Number: 2, Operation: add, Result: 6
Time: 1639087421.7003894, File: /opt/project/inputs/addition.csv, Record Number: 3, Operation: add, Result: 8
Time: 1639087421.7081978, File: /opt/project/inputs/addition.csv, Record Number: 4, Operation: add, Result: 10
Time: 1639087421.7146497, File: /opt/project/inputs/addition.csv, Record Number: 5, Operation: add, Result: 12
Time: 1639087421.7226932, File: /opt/project/inputs/addition.csv, Record Number: 6, Operation: add, Result: 14
Time: 1639087421.7289712, File: /opt/project/inputs/addition.csv, Record Number: 7, Operation: add, Result: 16
Time: 1639087421.7351394, File: /opt/project/inputs/addition.csv, Record Number: 8, Operation: add, Result: 18
Time: 1639087421.768503, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 2.0
Time: 1639087421.7779167, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 2.0
Time: 1639087421.7884572, File: /opt/project/inputs/division.csv, Record Number: 2, Operation: divide, Result: 2.6666666666666665
Time: 1639087421.7951074, File: /opt/project/inputs/division.csv, Record Number: 3, Operation: divide, Result: 4.0
Time: 1639087421.8034723, File: /opt/project/inputs/division.csv, Record Number: 4, Operation: divide, Result: 6.4
Time: 1639087421.809888, File: /opt/project/inputs/division.csv, Record Number: 5, Operation: divide, Result: 10.666666666666666
Time: 1639087421.818863, File: /opt/project/inputs/division.csv, Record Number: 6, Operation: divide, Result: 18.285714285714285
Time: 1639087421.825512, File: /opt/project/inputs/division.csv, Record Number: 7, Operation: divide, Result: 32.0
Time: 1639087421.8345082, File: /opt/project/inputs/division.csv, Record Number: 8, Operation: divide, Result: 56.888888888888886
Time: 1639087421.8582492, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 2
Time: 1639087421.8670235, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 8
Time: 1639087421.8739865, File: /opt/project/inputs/multiplication.csv, Record Number: 2, Operation: multiply, Result: 18
Time: 1639087421.8844047, File: /opt/project/inputs/multiplication.csv, Record Number: 3, Operation: multiply, Result: 32
Time: 1639087421.8917391, File: /opt/project/inputs/multiplication.csv, Record Number: 4, Operation: multiply, Result: 50
Time: 1639087421.899969, File: /opt/project/inputs/multiplication.csv, Record Number: 5, Operation: multiply, Result: 72
Time: 1639087421.9062774, File: /opt/project/inputs/multiplication.csv, Record Number: 6, Operation: multiply, Result: 98
Time: 1639087421.9162197, File: /opt/project/inputs/multiplication.csv, Record Number: 7, Operation: multiply, Result: 128
Time: 1639087421.924409, File: /opt/project/inputs/multiplication.csv, Record Number: 8, Operation: multiply, Result: 162
Time: 1639087421.9477081, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 1
Time: 1639087421.9561355, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 2
Time: 1639087421.9661908, File: /opt/project/inputs/subtraction.csv, Record Number: 2, Operation: subtract, Result: 3
Time: 1639087421.9767067, File: /opt/project/inputs/subtraction.csv, Record Number: 3, Operation: subtract, Result: 4
Time: 1639087421.9830558, File: /opt/project/inputs/subtraction.csv, Record Number: 4, Operation: subtract, Result: 5
Time: 1639087421.9910767, File: /opt/project/inputs/subtraction.csv, Record Number: 5, Operation: subtract, Result: 6
Time: 1639087421.997663, File: /opt/project/inputs/subtraction.csv, Record Number: 6, Operation: subtract, Result: 7
Time: 1639087422.0054889, File: /opt/project/inputs/subtraction.csv, Record Number: 7, Operation: subtract, Result: 8
Time: 1639087422.011684, File: /opt/project/inputs/subtraction.csv, Record Number: 8, Operation: subtract, Result: 9
Time: 1639087497.0997453, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2
Time: 1639087497.1074078, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4
Time: 1639087497.1156342, File: /opt/project/inputs/addition.csv, Record Number: 2, Operation: add, Result: 6
Time: 1639087497.1222022, File: /opt/project/inputs/addition.csv, Record Number: 3, Operation: add, Result: 8
Time: 1639087497.1290298, File: /opt/project/inputs/addition.csv, Record Number: 4, Operation: add, Result: 10
Time: 1639087497.1353328, File: /opt/project/inputs/addition.csv, Record Number: 5, Operation: add, Result: 12
Time: 1639087497.1417031, File: /opt/project/inputs/addition.csv, Record Number: 6, Operation: add, Result: 14
Time: 1639087497.1519399, File: /opt/project/inputs/addition.csv, Record Number: 7, Operation: add, Result: 16
Time: 1639087497.161771, File: /opt/project/inputs/addition.csv, Record Number: 8, Operation: add, Result: 18
Time: 1639087497.1940074, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 2.0
Time: 1639087497.2026727, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 2.0
Time: 1639087497.2106452, File: /opt/project/inputs/division.csv, Record Number: 2, Operation: divide, Result: 2.6666666666666665
Time: 1639087497.217626, File: /opt/project/inputs/division.csv, Record Number: 3, Operation: divide, Result: 4.0
Time: 1639087497.2260637, File: /opt/project/inputs/division.csv, Record Number: 4, Operation: divide, Result: 6.4
Time: 1639087497.2323098, File: /opt/project/inputs/division.csv, Record Number: 5, Operation: divide, Result: 10.666666666666666
Time: 1639087497.2410164, File: /opt/project/inputs/division.csv, Record Number: 6, Operation: divide, Result: 18.285714285714285
Time: 1639087497.2483041, File: /opt/project/inputs/division.csv, Record Number: 7, Operation: divide, Result: 32.0
Time: 1639087497.2555377, File: /opt/project/inputs/division.csv, Record Number: 8, Operation: divide, Result: 56.888888888888886
Time: 1639087497.2754817, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 2
Time: 1639087497.2835379, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 8
Time: 1639087497.2928185, File: /opt/project/inputs/multiplication.csv, Record Number: 2, Operation: multiply, Result: 18
Time: 1639087497.3041937, File: /opt/project/inputs/multiplication.csv, Record Number: 3, Operation: multiply, Result: 32
Time: 1639087497.310431, File: /opt/project/inputs/multiplication.csv, Record Number: 4, Operation: multiply, Result: 50
Time: 1639087497.3202143, File: /opt/project/inputs/multiplication.csv, Record Number: 5, Operation: multiply, Result: 72
Time: 1639087497.3284879, File: /opt/project/inputs/multiplication.csv, Record Number: 6, Operation: multiply, Result: 98
Time: 1639087497.3383992, File: /opt/project/inputs/multiplication.csv, Record Number: 7, Operation: multiply, Result: 128
Time: 1639087497.3471847, File: /opt/project/inputs/multiplication.csv, Record Number: 8, Operation: multiply, Result: 162
Time: 1639087497.3691068, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 1
Time: 1639087497.3774145, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 2
Time: 1639087497.3901215, File: /opt/project/inputs/subtraction.csv, Record Number: 2, Operation: subtract, Result: 3
Time: 1639087497.4028673, File: /opt/project/inputs/subtraction.csv, Record Number: 3, Operation: subtract, Result: 4
Time: 1639087497.4116373, File: /opt/project/inputs/subtraction.csv, Record Number: 4, Operation: subtract, Result: 5
Time: 1639087497.4183252, File: /opt/project/inputs/subtraction.csv, Record Number: 5, Operation: subtract, Result: 6
Time: 1639087497.426824, File: /opt/project/inputs/subtraction.csv, Record Number: 6, Operation: subtract, Result: 7
Time: 1639087497.4344826, File: /opt/project/inputs/subtraction.csv, Record Number: 7, Operation: subtract, Result: 8
Time: 1639087497.4424, File: /opt/project/inputs/subtraction.csv, Record Number: 8, Operation: subtract, Result: 9
Time: 1639087579.144935, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2
Time: 1639087579.1533499, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4
Time: 1639087579.1614335, File: /opt/project/inputs/addition.csv, Record Number: 2, Operation: add, Result: 6
Time: 1639087579.1677601, File: /opt/project/inputs/addition.csv, Record Number: 3, Operation: add, Result: 8
Time: 1639087579.1770592, File: /opt/project/inputs/addition.csv, Record Number: 4, Operation: add, Result: 10
Time: 1639087579.1827059, File: /opt/project/inputs/addition.csv, Record Number: 5, Operation: add, Result: 12
Time: 1639087579.1876495, File: /opt/project/inputs/addition.csv, Record Number: 6, Operation: add, Result: 14
Time: 1639087579.1947694, File: /opt/project/inputs/addition.csv, Record Number: 7, Operation: add, Result: 16
Time: 1639087579.202666, File: /opt/project/inputs/addition.csv, Record Number: 8, Operation: add, Result: 18
Time: 1639087579.2381294, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 2.0
Time: 1639087579.246281, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 2.0
Time: 1639087579.2554004, File: /opt/project/inputs/division.csv, Record Number: 2, Operation: divide, Result: 2.6666666666666665
Time: 1639087579.2614262, File: /opt/project/inputs/division.csv, Record Number: 3, Operation: divide, Result: 4.0
Time: 1639087579.2698874, File: /opt/project/inputs/division.csv, Record Number: 4, Operation: divide, Result: 6.4
Time: 1639087579.275396, File: /opt/project/inputs/division.csv, Record Number: 5, Operation: divide, Result: 10.666666666666666
Time: 1639087579.2818084, File: /opt/project/inputs/division.csv, Record Number: 6, Operation: divide, Result: 18.285714285714285
Time: 1639087579.2909641, File: /opt/project/inputs/division.csv, Record Number: 7, Operation: divide, Result: 32.0
Time: 1639087579.2974918, File: /opt/project/inputs/division.csv, Record Number: 8, Operation: divide, Result: 56.888888888888886
Time: 1639087579.3227482, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 2
Time: 1639087579.3312378, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 8
Time: 1639087579.3367653, File: /opt/project/inputs/multiplication.csv, Record Number: 2, Operation: multiply, Result: 18
Time: 1639087579.3434677, File: /opt/project/inputs/multiplication.csv, Record Number: 3, Operation: multiply, Result: 32
Time: 1639087579.3539252, File: /opt/project/inputs/multiplication.csv, Record Number: 4, Operation: multiply, Result: 50
Time: 1639087579.3649077, File: /opt/project/inputs/multiplication.csv, Record Number: 5, Operation: multiply, Result: 72
Time: 1639087579.3717334, File: /opt/project/inputs/multiplication.csv, Record Number: 6, Operation: multiply, Result: 98
Time: 1639087579.3825212, File: /opt/project/inputs/multiplication.csv, Record Number: 7, Operation: multiply, Result: 128
Time: 1639087579.3899965, File: /opt/project/inputs/multiplication.csv, Record Number: 8, Operation: multiply, Result: 162
Time: 1639087579.4128766, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 1
Time: 1639087579.423929, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 2
Time: 1639087579.4326959, File: /opt/project/inputs/subtraction.csv, Record Number: 2, Operation: subtract, Result: 3
Time: 1639087579.44349, File: /opt/project/inputs/subtraction.csv, Record Number: 3, Operation: subtract, Result: 4
Time: 1639087579.4518335, File: /opt/project/inputs/subtraction.csv, Record Number: 4, Operation: subtract, Result: 5
Time: 1639087579.459449, File: /opt/project/inputs/subtraction.csv, Record Number: 5, Operation: subtract, Result: 6
Time: 1639087579.4644177, File: /opt/project/inputs/subtraction.csv, Record Number: 6, Operation: subtract, Result: 7
Time: 1639087579.4741988, File: /opt/project/inputs/subtraction.csv, Record Number: 7, Operation: subtract, Result: 8
Time: 1639087579.4797032, File: /opt/project/inputs/subtraction.csv, Record Number: 8, Operation: subtract, Result: 9
Time: 1639087776.1650724, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2
Time: 1639087776.1764462, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4
Time: 1639087776.1894085, File: /opt/project/inputs/addition.csv, Record Number: 2, Operation: add, Result: 6
Time: 1639087776.199042, File: /opt/project/inputs/addition.csv, Record Number: 3, Operation: add, Result: 8
Time: 1639087776.2078454, File: /opt/project/inputs/addition.csv, Record Number: 4, Operation: add, Result: 10
Time: 1639087776.2158544, File: /opt/project/inputs/addition.csv, Record Number: 5, Operation: add, Result: 12
Time: 1639087776.2246675, File: /opt/project/inputs/addition.csv, Record Number: 6, Operation: add, Result: 14
Time: 1639087776.2308846, File: /opt/project/inputs/addition.csv, Record Number: 7, Operation: add, Result: 16
Time: 1639087776.2393553, File: /opt/project/inputs/addition.csv, Record Number: 8, Operation: add, Result: 18
Time: 1639087776.272194, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 2.0
Time: 1639087776.2807019, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 2.0
Time: 1639087776.289839, File: /opt/project/inputs/division.csv, Record Number: 2, Operation: divide, Result: 2.6666666666666665
Time: 1639087776.2958357, File: /opt/project/inputs/division.csv, Record Number: 3, Operation: divide, Result: 4.0
Time: 1639087776.304362, File: /opt/project/inputs/division.csv, Record Number: 4, Operation: divide, Result: 6.4
Time: 1639087776.310778, File: /opt/project/inputs/division.csv, Record Number: 5, Operation: divide, Result: 10.666666666666666
Time: 1639087776.3198116, File: /opt/project/inputs/division.csv, Record Number: 6, Operation: divide, Result: 18.285714285714285
Time: 1639087776.3281634, File: /opt/project/inputs/division.csv, Record Number: 7, Operation: divide, Result: 32.0
Time: 1639087776.3363457, File: /opt/project/inputs/division.csv, Record Number: 8, Operation: divide, Result: 56.888888888888886
Time: 1639087776.36039, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 2
Time: 1639087776.3710134, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 8
Time: 1639087776.3818395, File: /opt/project/inputs/multiplication.csv, Record Number: 2, Operation: multiply, Result: 18
Time: 1639087776.387992, File: /opt/project/inputs/multiplication.csv, Record Number: 3, Operation: multiply, Result: 32
Time: 1639087776.3983967, File: /opt/project/inputs/multiplication.csv, Record Number: 4, Operation: multiply, Result: 50
Time: 1639087776.4052749, File: /opt/project/inputs/multiplication.csv, Record Number: 5, Operation: multiply, Result: 72
Time: 1639087776.4138136, File: /opt/project/inputs/multiplication.csv, Record Number: 6, Operation: multiply, Result: 98
Time: 1639087776.4202542, File: /opt/project/inputs/multiplication.csv, Record Number: 7, Operation: multiply, Result: 128
Time: 1639087776.430545, File: /opt/project/inputs/multiplication.csv, Record Number: 8, Operation: multiply, Result: 162
Time: 1639087776.4533231, File: /opt/project/inputs/subtraction.csv, Record Number: 0, Operation: subtract, Result: 1
Time: 1639087776.4639592, File: /opt/project/inputs/subtraction.csv, Record Number: 1, Operation: subtract, Result: 2
Time: 1639087776.4733365, File: /opt/project/inputs/subtraction.csv, Record Number: 2, Operation: subtract, Result: 3
Time: 1639087776.4797566, File: /opt/project/inputs/subtraction.csv, Record Number: 3, Operation: subtract, Result: 4
Time: 1639087776.4881687, File: /opt/project/inputs/subtraction.csv, Record Number: 4, Operation: subtract, Result: 5
Time: 1639087776.4942026, File: /opt/project/inputs/subtraction.csv, Record Number: 5, Operation: subtract, Result: 6
Time: 1639087776.49899, File: /opt/project/inputs/subtraction.csv, Record Number: 6, Operation: subtract, Result: 7
Time: 1639087776.50734, File: /opt/project/inputs/subtraction.csv, Record Number: 7, Operation: subtract, Result: 8
Time: 1639087776.5130663, File: /opt/project/inputs/subtraction.csv, Record Number: 8, Operation: subtract, Result: 9
Time: 1639087806.117174, File: /opt/project/inputs/addition.csv, Record Number: 0, Operation: add, Result: 2
Time: 1639087806.1264727, File: /opt/project/inputs/addition.csv, Record Number: 1, Operation: add, Result: 4
Time: 1639087806.1354492, File: /opt/project/inputs/addition.csv, Record Number: 2, Operation: add, Result: 6
Time: 1639087806.1418476, File: /opt/project/inputs/addition.csv, Record Number: 3, Operation: add, Result: 8
Time: 1639087806.1577194, File: /opt/project/inputs/addition.csv, Record Number: 4, Operation: add, Result: 10
Time: 1639087806.1680982, File: /opt/project/inputs/addition.csv, Record Number: 5, Operation: add, Result: 12
Time: 1639087806.1787405, File: /opt/project/inputs/addition.csv, Record Number: 6, Operation: add, Result: 14
Time: 1639087806.1860647, File: /opt/project/inputs/addition.csv, Record Number: 7, Operation: add, Result: 16
Time: 1639087806.1950622, File: /opt/project/inputs/addition.csv, Record Number: 8, Operation: add, Result: 18
Time: 1639087806.2294211, File: /opt/project/inputs/division.csv, Record Number: 0, Operation: divide, Result: 2.0
Time: 1639087806.2417748, File: /opt/project/inputs/division.csv, Record Number: 1, Operation: divide, Result: 2.0
Time: 1639087806.248881, File: /opt/project/inputs/division.csv, Record Number: 2, Operation: divide, Result: 2.6666666666666665
Time: 1639087806.2589793, File: /opt/project/inputs/division.csv, Record Number: 3, Operation: divide, Result: 4.0
Time: 1639087806.2663662, File: /opt/project/inputs/division.csv, Record Number: 4, Operation: divide, Result: 6.4
Time: 1639087806.276609, File: /opt/project/inputs/division.csv, Record Number: 5, Operation: divide, Result: 10.666666666666666
Time: 1639087806.2868893, File: /opt/project/inputs/division.csv, Record Number: 6, Operation: divide, Result: 18.285714285714285
Time: 1639087806.293363, File: /opt/project/inputs/division.csv, Record Number: 7, Operation: divide, Result: 32.0
Time: 1639087806.3039029, File: /opt/project/inputs/division.csv, Record Number: 8, Operation: divide, Result: 56.888888888888886
Time: 1639087806.32878, File: /opt/project/inputs/multiplication.csv, Record Number: 0, Operation: multiply, Result: 2
Time: 1639087806.3373616, File: /opt/project/inputs/multiplication.csv, Record Number: 1, Operation: multiply, Result: 8
Time: 1639087806.3458273, File: /opt/project/inputs/multiplication.csv, Record Number: 2, Operation: multiply, Result: 18
Time: 1639087806.3553815, File: /opt/project/inputs/multiplication.csv, Record Number: 3, Operation: multiply, Result: 32
